t,planned_x,planned_y,planned_z,planned_p1,planned_p2,planned_p3,actual_x,actual_y,actual_z,actual_p1,actual_p2,actual_p3,tracking_error_xy,tracking_error_z,segment_id,is_travel,is_retract
0.5380,3.5338,-0.3790,0.1000,0.5203,0.0000,0.0000,3496.7376,-375.0687,0.1000,0.5187,0.0000,0.0000,3513.2414,0.0000,0,0,0
0.5386,3.5675,-0.3830,0.1000,0.5210,0.0000,0.0000,3566.5784,-383.0034,0.1000,0.5203,0.0000,0.0000,3583.4962,0.0000,0,0,0
0.5392,3.6026,-0.3807,0.1000,0.5217,0.0000,0.0000,3566.5784,-383.0034,0.1000,0.5203,0.0000,0.0000,3583.4615,0.0000,0,0,0
0.5397,3.6378,-0.3785,0.1000,0.5224,0.0000,0.0000,3676.0930,-377.3196,0.1000,0.5211,0.0000,0.0000,3691.7492,0.0000,0,0,0
0.5404,3.6730,-0.3697,0.1000,0.5231,0.0000,0.0000,3676.0930,-377.3196,0.1000,0.5211,0.0000,0.0000,3691.7150,0.0000,0,0,0
0.5410,3.7083,-0.3608,0.1000,0.5238,0.0000,0.0000,3673.0000,-370.0000,0.1000,0.5224,0.0000,0.0000,3687.8631,0.0000,0,0,0
0.5416,3.7425,-0.3453,0.1000,0.5246,0.0000,0.0000,3684.8590,-335.9120,0.1000,0.5235,0.0000,0.0000,3696.3797,0.0000,0,0,0
0.5422,3.7768,-0.3298,0.1000,0.5253,0.0000,0.0000,3684.8590,-335.9120,0.1000,0.5235,0.0000,0.0000,3696.3471,0.0000,0,0,0
0.5429,3.8086,-0.3078,0.1000,0.5261,0.0000,0.0000,3777.0000,-330.0000,0.1000,0.5243,0.0000,0.0000,3787.5679,0.0000,0,0,0
0.5435,3.8405,-0.2857,0.1000,0.5269,0.0000,0.0000,3777.0000,-330.0000,0.1000,0.5243,0.0000,0.0000,3787.5380,0.0000,0,0,0
0.5442,3.8687,-0.2574,0.1000,0.5277,0.0000,0.0000,3867.5885,-258.4115,0.1000,0.5263,0.0000,0.0000,3872.3344,0.0000,0,0,0
0.5449,3.8969,-0.2292,0.1000,0.5285,0.0000,0.0000,3894.7748,-231.2251,0.1000,0.5276,0.0000,0.0000,3897.7288,0.0000,0,0,0
0.5455,3.9203,-0.1953,0.1000,0.5293,0.0000,0.0000,3918.9442,-191.9272,0.1000,0.5284,0.0000,0.0000,3919.7159,0.0000,0,0,0
0.5462,3.9437,-0.1615,0.1000,0.5301,0.0000,0.0000,3945.6711,-164.7325,0.1000,0.5290,0.0000,0.0000,3945.1614,0.0000,0,0,0
